ID,Forename,Surname,ImageURL,ImageActionURL
62937,Omar,MANCILLA,https://cdn.soccerwiki.org/images/player/62937.png,
62942,Sergio,AVELLANEDA,https://cdn.soccerwiki.org/images/player/62942.jpg,
62943,Mauricio,DUARTE,https://cdn.soccerwiki.org/images/player/62943.png,
62944,Jesús,LOZANO,https://cdn.soccerwiki.org/images/player/62944.jpg,
63002,Andrés,CORREA,https://cdn.soccerwiki.org/images/player/63002.jpg,
63003,Alexis,OSSA,https://cdn.soccerwiki.org/images/player/63003.png,
63007,Darwin,LÓPEZ,https://cdn.soccerwiki.org/images/player/63007.png,
63009,Juan,DEUSA,https://cdn.soccerwiki.org/images/player/63009.png,
63011,Jeysen,NÚÑEZ,https://cdn.soccerwiki.org/images/player/63011.jpg,
63055,Stiven,BARREIRO,https://cdn.soccerwiki.org/images/player/63055.png,
63056,Wílmer,PALACIOS,,
63058,Andrés,RIVERA,,
63062,Bryan,URUEÑA,https://cdn.soccerwiki.org/images/player/63062.jpg,
63064,Juan,ARBOLEDA,https://cdn.soccerwiki.org/images/player/63064.png,
63067,Andrés,RENTERÍA,https://cdn.soccerwiki.org/images/player/63067.png,
63069,Fredy,HINESTROZA,https://cdn.soccerwiki.org/images/player/63069.png,
63072,Mauricio,CUERO,https://cdn.soccerwiki.org/images/player/63072.png,
63074,Iván,RIVAS,https://cdn.soccerwiki.org/images/player/63074.jpg,
63077,Maicol,BALANTA,https://cdn.soccerwiki.org/images/player/63077.png,
63080,Arled,CADAVID,https://cdn.soccerwiki.org/images/player/63080.png,
63083,Carlos,OÑATE,https://cdn.soccerwiki.org/images/player/63083.jpg,
63085,Andrés,RICAURTE,https://cdn.soccerwiki.org/images/player/63085.png,
64180,Santiago,MONTOYA,https://cdn.soccerwiki.org/images/player/64180.png,
64395,Juan Pablo,NIETO,https://cdn.soccerwiki.org/images/player/64395.png,
64502,Ray,VANEGAS,https://cdn.soccerwiki.org/images/player/64502.png,
64848,Dairon,MOSQUERA,https://cdn.soccerwiki.org/images/player/64848.png,
65074,Yoiver,GONZÁLEZ,https://cdn.soccerwiki.org/images/player/65074.png,
65119,Cristian,PALOMEQUE,https://cdn.soccerwiki.org/images/player/65119.png,
65215,Éder,BALANTA,https://cdn.soccerwiki.org/images/player/65215.png,
65333,Michael,RANGEL,https://cdn.soccerwiki.org/images/player/65333.png,
65402,José,LEUDO,https://cdn.soccerwiki.org/images/player/65402.jpg,
65479,Jherson,VERGARA,https://cdn.soccerwiki.org/images/player/65479.png,
65651,Felipe,AGUILAR,https://cdn.soccerwiki.org/images/player/65651.png,
65652,Deivy,BALANTA,https://cdn.soccerwiki.org/images/player/65652.jpg,
65654,David,VALENCIA,https://cdn.soccerwiki.org/images/player/65654.png,
65656,Jonathan,ÁVILA,https://cdn.soccerwiki.org/images/player/65656.png,
65657,Rafael,CARRASCAL,https://cdn.soccerwiki.org/images/player/65657.png,
65661,Jesús,ARRIETA,https://cdn.soccerwiki.org/images/player/65661.png,
65662,Dairon,ASPRILLA,https://cdn.soccerwiki.org/images/player/65662.png,
65837,Faber,CAÑAVERAL,https://cdn.soccerwiki.org/images/player/65837.jpg,
65860,Miguel,BORJA,https://cdn.soccerwiki.org/images/player/65860.png,
66422,Sebastián,RINCÓN,https://cdn.soccerwiki.org/images/player/66422.png,
66526,Yair,IBARGÜEN,https://cdn.soccerwiki.org/images/player/66526.jpg,
67177,Ramiro,SÁNCHEZ,https://cdn.soccerwiki.org/images/player/67177.png,
67183,Jhon Fredy,MIRANDA,https://cdn.soccerwiki.org/images/player/67183.jpg,
67187,Miller,MOSQUERA,https://cdn.soccerwiki.org/images/player/67187.png,
67189,Victor,CANTILLO,https://cdn.soccerwiki.org/images/player/67189.png,
67193,Rodin,QUIÑONES,https://cdn.soccerwiki.org/images/player/67193.jpg,
67195,Jhonny,MEZA,https://cdn.soccerwiki.org/images/player/67195.png,
